sequence_id,ground_truth,neural_top1,neural_confidence,neural_top5,hybrid_prediction,hybrid_source,rule_compat,final_reliability,top1_match,top5_match
1001363076,closet,bird,88.3%,"['bird', 'doll', 'elephant', 'airplane', 'duck']",bird,95_class_model,70.0%,82.8%,False,False
1001379621,brother,brother,48.3%,"['brother', 'eye', 'callonphone', 'any', 'cereal']",brother,95_class_model,70.0%,54.8%,True,True
100190623,cry,because,35.7%,"['because', 'eye', 'black', 'brother', 'cry']",because,95_class_model,70.0%,46.0%,False,True
1002091184,duck,duck,96.7%,"['duck', 'elephant', 'bird', 'boy', 'blow']",duck,95_class_model,70.0%,88.7%,True,True
1002092995,blow,elephant,18.4%,"['elephant', 'drawer', 'down', 'cow', 'can']",Uncertain,uncertain,70.0%,18.4%,False,False
1006573792,frog,elephant,60.7%,"['elephant', 'drop', 'arm', 'down', 'cereal']",elephant,95_class_model,70.0%,63.5%,False,False
1009580605,dry,doll,11.8%,"['doll', 'cheek', 'any', 'food', 'bird']",Uncertain,uncertain,70.0%,11.8%,False,False
1014380301,doll,elephant,24.5%,"['elephant', 'doll', 'black', 'cereal', 'eye']",elephant,95_class_model,70.0%,38.1%,False,True
1016188683,because,arm,33.8%,"['arm', 'dirty', 'all', 'drawer', 'elephant']",arm,95_class_model,70.0%,44.7%,False,False
101647228,cat,elephant,91.3%,"['elephant', 'bad', 'bedroom', 'girl', 'arm']",elephant,95_class_model,70.0%,84.9%,False,False
1165705667,bed,elephant,60.5%,"['elephant', 'any', 'arm', 'backyard', 'drop']",elephant,95_class_model,70.0%,63.4%,False,False
1270683469,dryer,face,77.1%,"['face', 'brother', 'down', 'because', 'arm']",face,95_class_model,70.0%,75.0%,False,False
1339610929,book,boy,97.5%,"['boy', 'donkey', 'cowboy', 'because', 'cow']",boy,95_class_model,40.0%,80.3%,False,False
1430563132,brother,down,26.1%,"['down', 'dance', 'boat', 'donkey', 'cut']",down,95_class_model,70.0%,39.3%,False,False
1431994099,drop,elephant,83.3%,"['elephant', 'boy', 'bedroom', 'any', 'eye']",elephant,95_class_model,70.0%,79.3%,False,False
1677408728,carrot,go,45.2%,"['go', 'down', 'dance', 'face', 'can']",go,95_class_model,70.0%,52.6%,False,False
1797531168,cry,elephant,44.8%,"['elephant', 'blow', 'balloon', 'all', 'gift']",elephant,95_class_model,70.0%,52.4%,False,False
2008286241,boat,better,97.9%,"['better', 'cow', 'callonphone', 'because', 'fast']",better,95_class_model,70.0%,89.6%,False,False
2032941224,bed,clean,16.9%,"['clean', 'can', 'dance', 'any', 'another']",Uncertain,uncertain,45.0%,16.9%,False,False
2149194932,cheek,elephant,96.0%,"['elephant', 'boy', 'grandpa', 'go', 'grandma']",elephant,95_class_model,70.0%,88.2%,False,False
2275280041,cat,any,36.2%,"['any', 'can', 'dance', 'clean', 'down']",any,95_class_model,70.0%,46.4%,False,False
2566139942,blow,elephant,85.7%,"['elephant', 'bedroom', 'boy', 'any', 'arm']",elephant,95_class_model,70.0%,81.0%,False,False
2662890343,bed,cereal,19.5%,"['cereal', 'all', 'better', 'callonphone', 'giraffe']",Uncertain,uncertain,70.0%,19.5%,False,False
2871928067,farm,elephant,64.2%,"['elephant', 'fireman', 'arm', 'bad', 'down']",elephant,95_class_model,70.0%,65.9%,False,False
2898812470,finish,elephant,73.9%,"['elephant', 'black', 'doll', 'eye', 'bird']",elephant,95_class_model,70.0%,72.7%,False,False
2989356264,garbage,closet,36.0%,"['closet', 'bird', 'doll', 'down', 'because']",closet,95_class_model,70.0%,46.2%,False,False
3055685768,chocolate,elephant,60.2%,"['elephant', 'flower', 'brother', 'eye', 'cereal']",elephant,95_class_model,70.0%,63.1%,False,False
3240494806,awake,glasswindow,22.2%,"['glasswindow', 'bedroom', 'callonphone', 'dryer', 'eye']",glasswindow,95_class_model,70.0%,36.6%,False,False
3363272433,another,brother,31.8%,"['brother', 'fall', 'down', 'donkey', 'elephant']",brother,95_class_model,70.0%,43.3%,False,False
3640961110,fall,elephant,56.2%,"['elephant', 'balloon', 'arm', 'grandma', 'blow']",elephant,95_class_model,70.0%,60.3%,False,False
3678323310,face,clean,34.8%,"['clean', 'all', 'gift', 'frenchfries', 'dirty']",hello,everyday_gesture_layer,98.0%,98.0%,False,False
3719377666,flag,because,37.4%,"['because', 'cry', 'better', 'dryer', 'fast']",because,95_class_model,70.0%,47.2%,False,False
4058650383,fireman,down,13.3%,"['down', 'any', 'beside', 'bad', 'flag']",Uncertain,uncertain,70.0%,13.3%,False,False
4182947582,feet,elephant,26.6%,"['elephant', 'eye', 'brother', 'black', 'any']",elephant,95_class_model,70.0%,39.6%,False,False
423808638,flag,airplane,54.6%,"['airplane', 'bird', 'dirty', 'elephant', 'arm']",airplane,95_class_model,90.0%,65.2%,False,False
4285783734,cereal,brother,32.6%,"['brother', 'callonphone', 'better', 'because', 'cow']",brother,95_class_model,70.0%,43.8%,False,False
45612438,bird,elephant,47.1%,"['elephant', 'down', 'boy', 'donkey', 'fireman']",elephant,95_class_model,70.0%,54.0%,False,False
461816070,any,callonphone,29.5%,"['callonphone', 'any', 'better', 'food', 'glasswindow']",callonphone,95_class_model,70.0%,41.6%,False,True
578177895,grandma,elephant,36.5%,"['elephant', 'boy', 'donkey', 'blue', 'flag']",elephant,95_class_model,70.0%,46.6%,False,False
607555842,fireman,beside,36.9%,"['beside', 'cow', 'better', 'down', 'callonphone']",beside,95_class_model,70.0%,46.8%,False,False
775633891,boat,all,45.6%,"['all', 'dirty', 'gift', 'bedroom', 'bed']",all,95_class_model,70.0%,52.9%,False,False
934585264,clean,elephant,78.1%,"['elephant', 'black', 'doll', 'boy', 'eye']",elephant,95_class_model,70.0%,75.7%,False,False
943105471,all,arm,10.9%,"['arm', 'can', 'down', 'glasswindow', 'boy']",Uncertain,uncertain,70.0%,10.9%,False,False
